-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
1.95213,3.98404,4,2413,-1326,3.143,2525.76,2.52576,
1.15344,2.61905,2,2412,-1328,3.173,2550.95,2.55095,
0.793651,1.85714,2,2411,-1328,3.204,2575.83,2.57583,
0.71123,1.43316,1,2411,-1328,3.236,2600.87,2.60087,
0.810526,0.994737,1,2410,-1328,3.266,2624.41,2.62441,
1,0.583333,1,2410,-1328,3.299,2649.78,2.64978,
2.47486,-0.776536,2,2410,-1328,3.345,2690.49,2.69049,
2.06283,-1.21466,2,2409,-1328,3.376,2714.77,2.71477,
1.97872,-1.44149,2,2409,-1328,3.407,2739.24,2.73924,
1.61376,-2.61376,3,2408,-1327,3.439,2765.44,2.76544,
1.41451,-3.3057,3,2406,-1325,3.471,2792.19,2.79219,
1.02062,-3.53093,3,2405,-1324,3.503,2819.46,2.81946,
0.924242,-3.76263,3,2404,-1322,3.537,2848.67,2.84867,
0.675,-4.235,4,2404,-1321,3.578,2872.8,2.8728,
0.0153061,-5.44388,5,2404,-1319,3.611,2898.42,2.89842,
-1.14925,-7.47264,7,2404,-1317,3.641,2923.11,2.92311,
-2.26733,-8.61881,8,2404,-1308,3.682,2958.26,2.95826,
-3.84264,-9.94924,10,2404,-1301,3.722,2986.07,2.98607,
-4.57,-10.45,11,2404,-1291,3.755,3014.11,3.01411,
-6.17085,-12.1859,13,2404,-1280,3.785,3042.29,3.04229,
-6.53333,-11.9744,13,2409,-1268,3.814,3068.26,3.06826,
-6.49479,-10.8177,12,2414,-1261,3.846,3094.67,3.09467,
-5.95745,-8.60106,10,2419,-1254,3.879,3123.09,3.12309,
-5.38378,-6.87027,8,2425,-1248,3.907,3149.04,3.14904,
-4.12698,-4.87831,6,2427,-1245,3.94,3175.82,3.17582,
-2.41146,-3.40104,4,2429,-1243,3.972,3202.28,3.20228,
-0.432292,-1.89063,1,2430,-1242,4.025,3252.07,3.25207,
0.118557,-1.37113,1,2430,-1242,4.068,3280.68,3.28068,
1.30688,-0.518519,1,2430,-1242,4.105,3301.56,3.30156,
2.38547,0.346369,2,2430,-1242,4.137,3324.41,3.32441,
2.83799,0.636872,2,2430,-1242,4.171,3348.9,3.3489,
3.24157,0.938202,3,2429,-1240,4.2,3371.75,3.37175,
2.72727,1.17614,2,2428,-1239,4.231,3393.85,3.39385,
2.4,0.794444,2,2428,-1239,4.264,3417.88,3.41788,
1.8587,0.0380435,1,2427,-1239,4.293,3440.44,3.44044,
1.2043,-0.698925,1,2427,-1239,4.326,3463.66,3.46366,
