"colony","sex","day","id","traveled_dis","mean_moving_speed","pause_duration","D","a","mu","rho"
"098","F",0,"Rs_098_F_01",12549.5250663724,2.44605052734958,2601,126.061978459905,1.37772487721208,6.27852046270818,0.849341756111392
"098","F",1,"Rs_098_F_01",6087.06624835314,1.42477615059302,3973,2387.69847335116,0.584090758407952,0.0110904350968987,0.86880394943961
"098","F",2,"Rs_098_F_01",8208.53398192979,1.81381922213716,3428,129.761713058874,1.35283911549839,6.27024952416268,0.872174519758905
"098","F",3,"Rs_098_F_01",9011.71715315298,2.02564105371802,3441,4669.71663270095,0.662723372186448,0.0119417901724285,0.844653145849164
"098","F",0,"Rs_098_F_02",14086.9201063285,2.77958332303585,2638,1884.5117165806,0.90144354039051,0.00637011292574822,0.829946312921038
"098","F",1,"Rs_098_F_02",12303.0222651344,2.44146842622335,2696,66.4349484387817,1.29575767296041,6.27254311993383,0.815160010789205
"098","F",2,"Rs_098_F_02",10364.295748136,2.38056664701307,3434,33.0032132019798,1.38273628230726,0.00442736068905808,0.809046542629882
"098","F",3,"Rs_098_F_02",9733.49015961831,2.10413525558804,3220,66.5614814800112,1.1975709813265,0.00797990938185201,0.811678430136563
"098","F",0,"Rs_098_F_03",13947.6891931855,2.37622771691585,1833,552.580012758232,0.747791296497532,6.2698728461671,0.835663122709209
"098","F",1,"Rs_098_F_03",12953.4773963716,2.24896481115712,1965,212.155362141919,1.18394107279813,6.27658090550586,0.847057881139908
"098","F",2,"Rs_098_F_03",7664.76681212469,1.98516506676545,3956,187.848044244735,0.968581105850112,6.28148901836898,0.854844035893706
"098","F",3,"Rs_098_F_03",6517.98712091191,1.75746753082869,4328,696.188426172521,0.594912496646279,6.27504043693859,0.851927102057554
"098","M",0,"Rs_098_M_01",13178.8981898417,2.204510686554,1721,474.440798343147,0.863767001295569,0.00463472609176117,0.847731736134907
"098","M",1,"Rs_098_M_01",10789.9959346249,1.78894285842225,1795,161.408671978196,1.38861419739749,0.0163283968250893,0.866129687020245
"098","M",2,"Rs_098_M_01",6110.24689736162,1.33679682512805,3613,162.462416048137,0.879059700644441,0.00564133681847138,0.87724576365024
"098","M",3,"Rs_098_M_01",2258.16570544149,0.959941298513216,6428,10.1572660633815,1.0596488906404,0.0201832764773584,0.885976171009846
"098","M",0,"Rs_098_M_02",12824.335570542,2.96687720734617,3283,185.625726508676,1.05079954356438,6.26877234422714,0.800963999838408
"098","M",1,"Rs_098_M_02",10701.8821618625,1.94368884127499,2282,69.0987695183724,1.13764193909833,0.000573875659702995,0.836742512826765
"098","M",2,"Rs_098_M_02",4096.06129261361,1.37068646316334,5122,40.6202624846449,0.900349824545462,0.0110380593297519,0.871158676132442
"098","M",3,"Rs_098_M_02",3608.48250801371,1.24214120068387,5256,10.6408526367885,1.03526060095919,6.28219242240545,0.886080088967146
"098","M",0,"Rs_098_M_03",15788.3308883478,2.41796619125455,1067,62.3621420319678,0.948766709784418,0.0916157001474297,0.894685566243979
"098","M",1,"Rs_098_M_03",4172.04520625539,1.44207822896107,5033,79.0649850049638,0.756524267915298,0.0385179185089525,0.899308739966983
"098","M",2,"Rs_098_M_03",7928.26928304592,1.59742046760942,3016,32.6261069697935,1.35477127386306,0.0383268467799346,0.892914770658033
"098","M",3,"Rs_098_M_03",6685.67585373774,1.38419623440011,3342,202.617629349332,0.92600911954051,0.0317130667729016,0.883054467859214
"102","F",0,"Rs_102_F_01",13575.5367771618,2.48424403337995,2231,167.887346905066,1.15730883273979,0.0646871480433383,0.835922943997515
"102","F",1,"Rs_102_F_01",10029.644737666,1.96570279094906,2726,650.859721500166,0.631529704353988,0.0439012609211166,0.844154436614113
"102","F",2,"Rs_102_F_01",3425.69436322307,1.16232714785432,5377,289.547143400114,0.286482511580883,0.0188556274709266,0.886642575117605
"102","F",3,"Rs_102_F_01",2253.56031707408,0.996143448032365,6197,88.876038301881,0.331025920390771,0.0182254336066479,0.883147932126402
"102","F",0,"Rs_102_F_02",8832.32677692642,1.72410724737137,2755,537.582618142109,0.818489277128152,6.26174548414825,0.853873862691542
"102","F",1,"Rs_102_F_02",6278.22400657495,1.43906595290744,3774,216.308090287821,0.765871508377832,0.00406460680140333,0.864889777422248
"102","F",2,"Rs_102_F_02",2365.80161123558,1.04416014193623,6282,2.13845755131349,1.50912776368545,6.27948093693416,0.889337397290217
"102","F",3,"Rs_102_F_02",20.7632961430934,NA,7501,0.00803745794103955,1.05695634192518,NA,NA
"102","F",0,"Rs_102_F_03",7365.36422371655,1.43812069624157,2893,186.990141446074,1.06812288350979,6.28274089158374,0.880035786779261
"102","F",1,"Rs_102_F_03",966.59287291073,0.939695895713182,7202,2.75395739375652,1.22415775365659,0.0175081242249654,0.875922335772073
"102","F",2,"Rs_102_F_03",1801.52628194694,0.92411126238816,6837,139.786815199568,0.599650605528238,0.0320808950720595,0.9010535961927
"102","F",3,"Rs_102_F_03",2413.8898360303,1.03570269830743,6120,1060.19747334221,0.193771076959687,0.0178524601976085,0.898464901088325
"102","M",0,"Rs_102_M_01",10729.6592038991,2.20157502161643,2881,167.013478070838,1.29906135687559,6.28238055375703,0.851923508212214
"102","M",1,"Rs_102_M_01",6525.87545317588,1.51822803078089,3722,106.918216088337,1.05987398841298,0.0136000906568728,0.866827075969504
"102","M",2,"Rs_102_M_01",3199.50034305492,1.29028794186835,5566,35.7571909117124,0.870285116601772,6.2724024714385,0.878976985330251
"102","M",3,"Rs_102_M_01",976.662483652122,1.03017539021499,7019,135.259528856933,0.0931415849237058,6.27978354245503,0.893388961058607
