"colony" "sex" "rep" "id" "day" "D" "a"
"63" "Rs_103" "M" "1" "Rs_103M1" "3" 33.105189424399 1.00261169442979
"64" "Rs_103" "M" "1" "Rs_103M1" "4" 4.28620833621233 1.30315774125104
"65" "Rs_103" "M" "2" "Rs_103M2" "1" 29.1816140553565 1.0027411427075
"66" "Rs_103" "M" "2" "Rs_103M2" "2" 3.49424882910043 1.54640244024926
"67" "Rs_103" "M" "2" "Rs_103M2" "3" 14.4177996745118 0.987430544097006
"68" "Rs_103" "M" "2" "Rs_103M2" "4" 3.99205893658551 1.32828500531537
"69" "Rs_103" "M" "3" "Rs_103M3" "1" 25.4741730658106 1.0638265484738
"70" "Rs_103" "M" "3" "Rs_103M3" "2" 14.4103601832155 1.08596601057368
"71" "Rs_103" "M" "3" "Rs_103M3" "3" 8.7729569009142 1.07710387210315
"72" "Rs_103" "M" "3" "Rs_103M3" "4" 2.17510844044671 1.48432735859624
