"name" "colony" "sex" "rep" "steps" "Min.step" "Max.step" "judgement" "TP.Xmin" "TP.Xmax" "TP.exponent" "TP.fitted.steps" "TP.fit" "TP.OOM" "Exp.Xmin" "Exp.exponent" "Exp.fitted.steps" "Exp.fit" "Exp.OOM" "EXP.AICw" "EXP.comp.AICw" "TP.AICw" "TP.comp.AICw"
"16" "Rs_098_M1_4" "Rs_098" "M" "1" "142" "0.023725" "37.24825" "Mixed" "0.04745" "24.81635" "0.71" "129" "0.0392566867219848" "2.71850168886727" "0.450775" "0.108964054412368" "112" "0.0866495348212058" "1.9171460514564" "0.00838382745153276" "0.991616172548467" "0.991616172548467" "0.00838382745153276"
"17" "Rs_098_M2_1" "Rs_098" "M" "2" "142" "0.04745" "235.802775" "TP" "24.1046" "113.903725" "1.02" "68" "0.0369346843017843" "0.674437998021265" "5.5042" "0.0235240199760565" "113" "0.0543485641821419" "1.63185470571072" "0.999999884772923" "1.15227076845906e-07" "1.15227076845906e-07" "0.999999884772923"
"18" "Rs_098_M2_2" "Rs_098" "M" "2" "150" "0.04745" "195.0195" "Mixed" "3.3215" "112.242975" "0.68" "118" "0.0331430979162919" "1.52882491237033" "3.5113" "0.0239513533365799" "121" "0.0602952414145151" "1.74461010214509" "0.999982143176625" "1.78568233745331e-05" "1.78568233745331e-05" "0.999982143176625"
"19" "Rs_098_M2_3" "Rs_098" "M" "2" "137" "0.04745" "105.315275" "Mixed" "3.914625" "24.318125" "0.33" "61" "0.0475275350225752" "0.793239921177867" "2.823275" "0.0717149892651626" "84" "0.0680199584208828" "1.57173818363284" "0.999999755606178" "2.44393822116745e-07" "2.44393822116745e-07" "0.999999755606178"
"20" "Rs_098_M2_4" "Rs_098" "M" "2" "124" "0.023725" "72.45615" "Mixed" "0.90155" "39.1937" "0.36" "93" "0.0515554031005118" "1.63822644636755" "0.260975" "0.0641137386883437" "112" "0.104769402011051" "2.44347634756218" "0.706316183966081" "0.293683816033919" "0.293683816033919" "0.706316183966081"
"21" "Rs_098_M3_1" "Rs_098" "M" "3" "224" "0.023725" "108.6605" "Mixed" "41.61365" "107.450525" "4.12" "80" "0.0775557522556658" "0.411972731652935" "21.4474" "0.0468305583655369" "176" "0.117813836943368" "0.704697047528506" "0.999956708813457" "4.32911865431859e-05" "4.32911865431859e-05" "0.999956708813457"
"22" "Rs_098_M3_2" "Rs_098" "M" "3" "122" "0.023725" "75.5404" "Mixed" "3.487575" "40.783275" "0.19" "73" "0.0574972854204157" "1.06795854193888" "0.166075" "0.0586585013315278" "109" "0.119012409368395" "2.65787501905137" "0.00558771065200028" "0.994412289348" "0.994412289348" "0.00558771065200028"
"23" "Rs_098_M3_3" "Rs_098" "M" "3" "119" "0.023725" "185.8142" "Mixed" "3.65365" "111.910825" "0.98" "84" "0.0395593073467521" "1.48614515540924" "1.684475" "0.0309258326751963" "95" "0.143444967269225" "2.04261433007601" "0.159771682894706" "0.840228317105294" "0.840228317105294" "0.159771682894706"
"24" "Rs_098_M3_4" "Rs_098" "M" "3" "150" "0.023725" "93.879825" "Mixed" "1.637025" "46.7857" "0.64" "111" "0.0410631089846232" "1.45605781986794" "0.877825" "0.0419377352651767" "133" "0.0569698844053557" "2.02916432619903" "0.991900612928008" "0.00809938707199222" "0.00809938707199222" "0.991900612928008"
"25" "Rs_102_F1_1" "Rs_102" "F" "1" "186" "0.023725" "197.6767" "Mixed" "1.94545" "75.39805" "0.65" "150" "0.0349034227694965" "1.58834004048764" "2.301325" "0.0296284311575057" "158" "0.0545538438959858" "1.93397752700946" "0.999999999999973" "2.67677695555958e-14" "2.67677695555958e-14" "0.999999999999973"
"26" "Rs_102_F1_2" "Rs_102" "F" "1" "216" "0.023725" "87.82995" "Mixed" "7.35475" "53.262625" "0.85" "144" "0.0479142412614823" "0.859854651505069" "0.023725" "0.0465667933630182" "216" "0.0598000000000001" "3.56843641441688" "0.999999993530748" "6.46925193559883e-09" "6.46925193559883e-09" "0.999999993530748"
"27" "Rs_102_F1_3" "Rs_102" "F" "1" "144" "0.023725" "58.9329" "Mixed" "0.450775" "54.448875" "0.91" "125" "0.0473480855260717" "2.08202908892045" "1.85055" "0.0659951799036587" "93" "0.0764256085882396" "1.50305698881406" "0.00150235695410029" "0.9984976430459" "0.9984976430459" "0.00150235695410029"
"28" "Rs_102_F1_4" "Rs_102" "F" "1" "123" "0.023725" "39.169975" "Mixed" "0.403325" "28.114125" "0.49" "104" "0.0517824990581395" "1.84326942896785" "0.071175" "0.097293749618658" "118" "0.104403755954875" "2.74062581854313" "6.75014732543661e-07" "0.999999324985267" "0.999999324985267" "6.75014732543661e-07"
"29" "Rs_102_F2_1" "Rs_102" "F" "2" "142" "0.023725" "188.779825" "TP" "7.520825" "160.381" "1.1" "90" "0.0469905699608848" "1.32888743372388" "3.5113" "0.0252617700334865" "103" "0.115381634992842" "1.73048764266612" "0.0136182172645023" "0.986381782735498" "0.986381782735498" "0.0136182172645023"
"30" "Rs_102_F2_2" "Rs_102" "F" "2" "173" "0.023725" "96.798" "TP" "4.69755" "69.632875" "1.22" "107" "0.0541247827731497" "1.1709429153221" "2.586025" "0.0511677347337131" "122" "0.0903990346938938" "1.57323366514926" "0.10762619151783" "0.89237380848217" "0.89237380848217" "0.10762619151783"
"31" "Rs_102_F2_3" "Rs_102" "F" "2" "120" "0.023725" "58.03135" "Mixed" "0.071175" "39.05135" "0.81" "115" "0.0491061063255772" "2.73930857615659" "1.826825" "0.072218681779362" "72" "0.107839851195611" "1.50196572752778" "0.574445904514991" "0.425554095485009" "0.425554095485009" "0.574445904514991"
"32" "Rs_102_F2_4" "Rs_102" "F" "2" "14" "0.023725" "2.5623" "Mixed" "0.04745" "1.020175" "0.24" "12" "0.174315311363698" "1.33243845991561" "0.023725" "1.69081615091742" "14" "0.157728571428571" "2.03342375548695" "0.530777719561741" "0.469222280438259" "0.469222280438259" "0.530777719561741"
"33" "Rs_102_F3_1" "Rs_102" "F" "3" "126" "0.023725" "212.52855" "Mixed" "0.498225" "120.499275" "0.92" "109" "0.0367083347501712" "2.38355891809468" "6.239675" "0.0227668697428972" "67" "0.0904717868597144" "1.53225530961891" "0.922206271417261" "0.0777937285827391" "0.0777937285827391" "0.922206271417261"
"34" "Rs_102_F3_2" "Rs_102" "F" "3" "75" "0.023725" "79.265225" "Mixed" "1.4235" "26.23985" "1.24" "54" "0.0960407731565364" "1.26560387658504" "0.118625" "0.130989210775076" "68" "0.194261481225358" "2.82490647130211" "0.999999999717993" "2.82007166329007e-10" "2.82007166329007e-10" "0.999999999717993"
"35" "Rs_102_F3_3" "Rs_102" "F" "3" "84" "0.023725" "45.552" "Mixed" "0.545675" "41.779725" "0.75" "62" "0.0639958710916613" "1.88403151994968" "0.925275" "0.0737148296062649" "58" "0.116699812652856" "1.69223662167705" "1.5453742387042e-05" "0.999984546257613" "0.999984546257613" "1.5453742387042e-05"
"36" "Rs_102_F3_4" "Rs_102" "F" "3" "98" "0.023725" "117.05915" "TP" "0.450775" "64.8167" "1.01" "72" "0.0520916221141782" "2.15772709405667" "4.31795" "0.0437632611798721" "39" "0.0701613226358406" "1.43312775716864" "0.9448187097174" "0.0551812902826001" "0.0551812902826001" "0.9448187097174"
