"name" "colony" "sex" "rep" "steps" "Min.step" "Max.step" "judgement" "TP.Xmin" "TP.Xmax" "TP.exponent" "TP.fitted.steps" "TP.fit" "TP.OOM" "Exp.Xmin" "Exp.exponent" "Exp.fitted.steps" "Exp.fit" "Exp.OOM" "EXP.AICw" "EXP.comp.AICw" "TP.AICw" "TP.comp.AICw"
"17" "Rs_098_M2_1" "Rs_098" "M" "2" "155" "0.023725" "158.483" "TP" "20.07135" "115.517025" "1.38" "76" "0.0546242780929552" "0.760069411506871" "2.064075" "0.0319834599821235" "133" "0.0721221034693591" "1.88525720985693" "0.999999981388591" "1.86114091481979e-08" "1.86114091481979e-08" "0.999999981388591"
"18" "Rs_098_M2_2" "Rs_098" "M" "2" "182" "0.0949" "125.766225" "Mixed" "0.593125" "62.894975" "0.74" "151" "0.0453675858933992" "2.02546971906106" "1.47095" "0.0358762728563042" "151" "0.107181582812972" "1.93196611472817" "0.752119646128341" "0.247880353871659" "0.247880353871659" "0.752119646128341"
"19" "Rs_098_M2_3" "Rs_098" "M" "2" "127" "0.023725" "65.362375" "Mixed" "10.272925" "37.91255" "0.61" "52" "0.0615164287802329" "0.567088878624607" "0.52195" "0.069084934843782" "106" "0.0776383796412293" "2.0976989223656" "0.999961356237134" "3.86437628658079e-05" "3.86437628658079e-05" "0.999961356237134"
"20" "Rs_098_M2_4" "Rs_098" "M" "2" "133" "0.023725" "50.605425" "Mixed" "0.023725" "31.64915" "0.54" "132" "0.0546631487318354" "3.12515582958053" "0.0949" "0.0924736507450217" "131" "0.11055244913827" "2.72693086412147" "0.00841545777232415" "0.991584542227676" "0.991584542227676" "0.00841545777232415"
"21" "Rs_098_M3_1" "Rs_098" "M" "3" "223" "0.04745" "85.74215" "Mixed" "16.821025" "51.67305" "0.22" "173" "0.0454053023982812" "0.48741164023669" "16.821025" "0.0516509771753047" "191" "0.162805753961798" "0.707341913041847" "0.999704246651169" "0.000295753348831219" "0.000295753348831219" "0.999704246651169"
"22" "Rs_098_M3_2" "Rs_098" "M" "3" "111" "0.023725" "67.2841" "Mixed" "0.023725" "57.153525" "0.68" "110" "0.0672018624041296" "3.38183679999834" "0.830375" "0.0542788108573722" "89" "0.119109115987538" "1.90863818216075" "3.99741251718074e-05" "0.999960025874828" "0.999960025874828" "3.99741251718074e-05"
"23" "Rs_098_M3_3" "Rs_098" "M" "3" "125" "0.023725" "172.57565" "Mixed" "0.0949" "78.90935" "0.73" "114" "0.0347954109826757" "2.91986225355554" "5.0297" "0.0290242584280769" "77" "0.059662273586241" "1.53543743578994" "0.999725819313615" "0.000274180686385011" "0.000274180686385011" "0.999725819313615"
"24" "Rs_098_M3_4" "Rs_098" "M" "3" "148" "0.04745" "149.206525" "Mixed" "15.397525" "149.206525" "2.1" "75" "0.0771623398042751" "0.986336897928179" "1.1388" "0.0421780846605378" "126" "0.0655244365403764" "2.11734035735296" "0.999999999999315" "6.85532731447163e-13" "6.85532731447163e-13" "0.999999999999315"
"25" "Rs_102_F1_1" "Rs_102" "F" "1" "150" "0.04745" "260.903825" "Mixed" "1.94545" "79.47875" "0.71" "117" "0.044251558018109" "1.61123095465313" "1.37605" "0.0240363932089875" "139" "0.11068894018299" "2.27784623149129" "0.9988603484455" "0.00113965155450007" "0.00113965155450007" "0.9988603484455"
"26" "Rs_102_F1_2" "Rs_102" "F" "1" "202" "0.071175" "97.88935" "Mixed" "2.443675" "61.424025" "0.83" "166" "0.0332099059694095" "1.4002948257297" "1.779375" "0.0492441457314461" "176" "0.0642401731131677" "1.74046796024543" "0.999998152956526" "1.84704347408912e-06" "1.84704347408912e-06" "0.999998152956526"
"27" "Rs_102_F1_3" "Rs_102" "F" "1" "139" "0.023725" "57.390775" "Mixed" "0.925275" "24.318125" "0.55" "102" "0.0272754846087502" "1.41965925836527" "0.42705" "0.0842794319268831" "119" "0.0489833018520218" "2.12836336325857" "0.999999997864997" "2.13500284178195e-09" "2.13500284178195e-09" "0.999999997864997"
"28" "Rs_102_F1_4" "Rs_102" "F" "1" "139" "0.023725" "30.03585" "Mixed" "0.04745" "25.38575" "0.68" "136" "0.0530522311627865" "2.72835378202123" "0.735475" "0.113430332291728" "105" "0.099857630825218" "1.61107201184706" "6.29900764579281e-08" "0.999999937009924" "0.999999937009924" "6.29900764579281e-08"
"29" "Rs_102_F2_1" "Rs_102" "F" "2" "152" "0.023725" "171.3894" "TP" "2.348775" "132.14825" "1.09" "121" "0.0489600320578787" "1.75022000057618" "1.56585" "0.0352201971618251" "126" "0.197813616866288" "2.03923380176358" "1.11308694473103e-08" "0.999999988869131" "0.999999988869131" "1.11308694473103e-08"
"30" "Rs_102_F2_2" "Rs_102" "F" "2" "153" "0.23725" "166.335975" "TP" "7.07005" "112.954725" "1.35" "83" "0.0561714572793145" "1.20348191739826" "3.629925" "0.035875240452619" "95" "0.152563726569743" "1.66108853629429" "0.177081826021244" "0.822918173978756" "0.822918173978756" "0.177081826021244"
"31" "Rs_102_F2_3" "Rs_102" "F" "2" "127" "0.023725" "47.805875" "Mixed" "0.118625" "18.481775" "0.79" "100" "0.0481771052098914" "2.19256745333655" "3.155425" "0.084045700775724" "59" "0.0807509797609144" "1.18042340951004" "0.0109507952893901" "0.98904920471061" "0.98904920471061" "0.0109507952893901"
"32" "Rs_102_F2_4" "Rs_102" "F" "2" "18" "0.023725" "1.304875" "Mixed" "0.023725" "0.949" "0.75" "15" "0.131103181710003" "1.60205999132796" "0.023725" "2.35619056345679" "18" "0.158277777777778" "1.74036268949424" "0.00451346159308701" "0.995486538406913" "0.995486538406913" "0.00451346159308701"
